.\wiki\都道府県.html is not URL.
try read file .\wiki\都道府県.html
読み	都道府県	旗	都道府県庁所在地	最大都市	地方	人口	面積(km)	人口密度(人/km)	市町村数	ISO/JIS番号	国会定数衆 / 参
あいちけん	23愛知県	25px-Flag_of_Aichi_Prefecture.svg.png	名古屋市	名古屋市	中部	7,484,094	5,172.40	1,446.9	54	23	15 / 8
あおもりけん	02青森県	25px-Flag_of_Aomori_Prefecture.svg.png	青森市	青森市	東北	1,308,649	9,645.40	135.7	40	02	03 / 2
あきたけん	05秋田県	25px-Flag_of_Akita_Prefecture.svg.png	秋田市	秋田市	東北	1,022,839	11,637.54	87.9	25	05	03 / 2
いしかわけん	17石川県	25px-Flag_of_Ishikawa_Prefecture.svg.png	金沢市	金沢市	中部	1,154,343	4,186.15	275.8	19	17	03 / 2
いばらきけん	08茨城県	25px-Flag_of_Ibaraki_Prefecture.svg.png	水戸市	水戸市	関東	2,917,857	6,096.93	478.6	44	08	07 / 4
いわてけん	03岩手県	25px-Flag_of_Iwate_Prefecture.svg.png	盛岡市	盛岡市	東北	1,279,814	15,275.02	83.8	33	03	03 / 2
えひめけん	38愛媛県	25px-Flag_of_Ehime_Prefecture.svg.png	松山市	松山市	四国	1,385,840	5,676.10	244.2	20	38	04 / 2
おおいたけん	44大分県	25px-Flag_of_Oita_Prefecture.svg.png	大分市	大分市	九州	1,166,729	6,340.61	184.0	18	44	03 / 2
おおさかふ	27大阪府	25px-Flag_of_Osaka_Prefecture.svg.png	大阪市	大阪市	近畿	8,838,908	1,904.99	4,639.9	43	27	19 / 8
おかやまけん	33岡山県	25px-Flag_of_Okayama_Prefecture.svg.png	岡山市	岡山市	中国	1,922,181	7,114.62	270.2	27	33	05 / 2
おきなわけん	47沖縄県	25px-Flag_of_Okinawa_Prefecture.svg.png	那覇市	那覇市	沖縄	1,434,138	2,281.00	628.7	41	47	04 / 2
かがわけん	37香川県	25px-Flag_of_Kagawa_Prefecture.svg.png	高松市	高松市	四国	976,756	1,876.73	520.5	17	37	03 / 2
かごしまけん	46鹿児島県	25px-Flag_of_Kagoshima_Prefecture.svg.png	鹿児島市	鹿児島市	九州	1,648,752	9,188.10	179.4	43	46	04 / 2
かながわけん	14神奈川県	25px-Flag_of_Kanagawa_Prefecture.svg.png	横浜市	横浜市	関東	9,127,323	2,415.81	3,778.2	33	14	18 / 8
ぎふけん	21岐阜県	25px-Flag_of_Gifu_Prefecture.svg.png	岐阜市	岐阜市	中部	2,032,533	10,621.29	191.4	42	21	05 / 2
きょうとふ	26京都府	25px-Flag_of_Kyoto_Prefecture.svg.png	京都市	京都市	近畿	2,610,140	4,612.20	565.9	26	26	06 / 4
くまもとけん	43熊本県	25px-Flag_of_Kumamoto_Prefecture.svg.png	熊本市	熊本市	九州	1,786,969	7,409.32	241.2	45	43	04 / 2
ぐんまけん	10群馬県	25px-Flag_of_Gunma_Prefecture.svg.png	前橋市	高崎市	関東	1,973,476	6,362.28	310.2	35	10	05 / 2
こうちけん	39高知県	25px-Flag_of_Kochi_Prefecture.svg.png	高知市	高知市	四国	728,461	7,103.91	102.5	34	39	02 / ※
さいたまけん	11埼玉県	25px-Flag_of_Saitama_Prefecture.svg.png	さいたま市	さいたま市	関東	7,261,271	3,797.75	1,912.0	63	11	15 / 7
さがけん	41佐賀県	25px-Flag_of_Saga_Prefecture.svg.png	佐賀市	佐賀市	九州	833,245	2,440.64	341.4	20	41	02 / 2
しがけん	25滋賀県	25px-Flag_of_Shiga_Prefecture.svg.png	大津市	大津市	近畿	1,413,184	4,017.38	351.8	19	25	04 / 2
しずおかけん	22静岡県	25px-Flag_of_Shizuoka_Prefecture.svg.png	静岡市	浜松市	中部	3,701,181	7,778.70	475.8	35	22	08 / 4
しまねけん	32島根県	25px-Flag_of_Shimane_Prefecture.svg.png	松江市	松江市	中国	694,188	6,708.23	103.5	19	32	02 / ※
ちばけん	12千葉県	25px-Flag_of_Chiba_Prefecture.svg.png	千葉市	千葉市	関東	6,224,027	5,157.64	1,206.8	54	12	13 / 6
とうきょうと	13東京都	25px-Flag_of_Tokyo_Prefecture.svg.png	東京 (新宿区)	東京 (世田谷区)	関東	13,513,734	2,190.90	6,168.1	62	13	25 / 12
とくしまけん	36徳島県	25px-Flag_of_Tokushima_Prefecture.svg.png	徳島市	徳島市	四国	756,063	4,146.93	182.3	24	36	02 / ※
とちぎけん	09栃木県	25px-Flag_of_Tochigi_Prefecture.svg.png	宇都宮市	宇都宮市	関東	1,974,671	6,408.09	308.2	25	09	05 / 2
とっとりけん	31鳥取県	25px-Flag_of_Tottori_Prefecture.svg.png	鳥取市	鳥取市	中国	573,648	3,507.05	163.6	19	31	02 / ※
とやまけん	16富山県	25px-Flag_of_Toyama_Prefecture.svg.png	富山市	富山市	中部	1,066,883	4,247.61	251.2	15	16	03 / 2
ながさきけん	42長崎県	25px-Flag_of_Nagasaki_Prefecture.svg.png	長崎市	長崎市	九州	1,377,780	4,132.32	333.4	21	42	04 / 2
ながのけん	20長野県	25px-Flag_of_Nagano_Prefecture.svg.png	長野市	長野市	中部	2,099,759	13,561.56	154.8	77	20	05 / 2
ならけん	29奈良県	25px-Flag_of_Nara_Prefecture.svg.png	奈良市	奈良市	近畿	1,365,008	3,690.94	369.8	39	29	03 / 2
にいがたけん	15新潟県	25px-Flag_of_Niigata_Prefecture.svg.png	新潟市	新潟市	中部	2,305,098	12,584.10	183.2	30	15	06 / 2
ひょうごけん	28兵庫県	25px-Flag_of_Hyogo_Prefecture.svg.png	神戸市	神戸市	近畿	5,536,989	8,400.90	659.1	41	28	12 / 6
ひろしまけん	34広島県	25px-Flag_of_Hiroshima_Prefecture.svg.png	広島市	広島市	中国	2,844,963	8,479.38	335.5	23	34	07 / 4
ふくいけん	18福井県	25px-Flag_of_Fukui_Prefecture.svg.png	福井市	福井市	中部	787,099	4,190.43	187.8	17	18	02 / 2
ふくおかけん	40福岡県	25px-Flag_of_Fukuoka_Prefecture.svg.png	福岡市	福岡市	九州	5,102,871	4,986.40	1,023.4	60	40	11 / 6
ふくしまけん	07福島県	25px-Flag_of_Fukushima_Prefecture.svg.png	福島市	いわき市	東北	1,913,606	13,783.75	138.8	59	07	05 / 2
ほっかいどう	01北海道	25px-Flag_of_Hokkaido_Prefecture.svg.png	札幌市	札幌市	北海道	5,383,579	83,424.22	68.6	179	01	12 / 6
みえけん	24三重県	25px-Flag_of_Mie_Prefecture.svg.png	津市	四日市市	近畿	1,815,827	5,774.39	314.5	29	24	04 / 2
みやぎけん	04宮城県	25px-Flag_of_Miyagi_Prefecture.svg.png	仙台市	仙台市	東北	2,334,215	7,282.14	320.5	35	04	06 / 2
みやざきけん	45宮崎県	25px-Flag_of_Miyazaki_Prefecture.svg.png	宮崎市	宮崎市	九州	1,104,377	7,735.31	142.8	26	45	03 / 2
やまがたけん	06山形県	25px-Flag_of_Yamagata_Prefecture.svg.png	山形市	山形市	東北	1,122,957	9,323.15	120.4	35	06	03 / 2
やまぐちけん	35山口県	25px-Flag_of_Yamaguchi_Prefecture.svg.png	山口市	下関市	中国	1,405,007	6,112.30	229.9	19	35	04 / 2
やまなしけん	19山梨県	25px-Flag_of_Yamanashi_Prefecture.svg.png	甲府市	甲府市	中部	835,165	4,464.99	187.0	27	19	02 / 2
わかやまけん	30和歌山県	25px-Flag_of_Wakayama_Prefecture.svg.png	和歌山市	和歌山市	近畿	963,850	4,724.68	204.0	30	30	03 / 2
